customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,date_joined
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,CO,50298,Bhutan,2024-08-02
2,Maurice,Baker,blairamanda@example.com,584-695-9310,16475 Mitchell Fords,Jacquelineland,PA,83728,Chile,2024-12-08
3,John,Ford,veronica83@example.net,903-405-6413x95376,38849 Hurst Locks Suite 328,Daviston,VI,14872,Cape Verde,2025-02-14
4,Laura,Henderson,cruzcaitlin@example.com,648.401.8451x46270,489 Eric Track,New Stephanie,NC,00575,Netherlands Antilles,2024-07-07
5,Andrew,Hickman,john39@example.org,671-882-2782,346 Kim Path,Martinezbury,CA,44814,Angola,2025-01-17
6,Jerry,Robinson,zimmermanbrian@example.org,4519834738,6311 Gomez Loop,Shieldston,TX,86150,Oman,2024-01-24
7,Richard,Morgan,wrightjames@example.com,(362)247-3178,32677 Michelle Circle,South Aaron,MS,35261,Vanuatu,2025-06-09
8,Spencer,Henderson,smoore@example.org,4982050097,19136 Shelly Port,New Brooke,RI,11246,Italy,2025-03-08
9,Annette,Stewart,james53@example.com,(524)675-1079x9118,1354 Samuel Plains,Cherylhaven,AL,88039,Svalbard & Jan Mayen Islands,2024-12-23
10,Sarah,Garcia,josephpreston@example.net,+1-924-649-3534,64005 Dana Greens,Lake Scott,VT,56558,Monaco,2023-11-21
11,Charles,Ware,amydavenport@example.net,+1-526-520-4505,8692 Michelle Union,South Angel,WA,44041,Slovenia,2025-09-24
12,Leah,Shields,josephcobb@example.org,(707)633-7543x3036,5868 Crosby Crescent,Gregoryview,AZ,14709,Nepal,2024-09-26
13,Jessica,Edwards,cruzbarbara@example.com,7607883561,484 Nguyen Square,Angelaborough,MT,87654,Wallis and Futuna,2024-08-17
14,Kaitlin,Thompson,richard04@example.com,969.495.7773,8951 Emily Fork,East Andrew,IA,62778,New Zealand,2025-07-27
15,Charles,Perry,jennifercruz@example.com,220.516.3287,2788 Dodson Mills,Rivasside,NV,21362,Samoa,2025-08-04
16,Shannon,Walton,katie87@example.net,347.414.3455,62316 Rivera Mountain,Brownchester,MS,77057,Yemen,2025-04-05
17,Melissa,Cannon,wwoods@example.com,001-766-888-9373x46706,2980 Vargas Shore,North Dawnberg,VI,61016,Cocos (Keeling) Islands,2023-12-20
