order_id,customer_id,order_date,status,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_cost,total_amount
1,598,2025-09-05,shipped,1511 Hunter Heights Apt. 329,Bryantown,DC,32575,5.97,2261.87
2,289,2025-01-17,delivered,139 Sara Plains,Sarahaven,MH,16279,16.95,4346.93
3,864,2025-02-24,delivered,3502 Cory Grove,South Melanieton,UT,11562,10.71,5455.42
4,9,2025-06-20,pending,21059 Shaw Hills Apt. 814,Lake Mario,DE,93784,13.62,1949.04
5,904,2025-07-09,shipped,199 Acevedo Turnpike Apt. 763,Lake Danielville,CT,46086,19.55,868.59
6,783,2025-02-22,delivered,167 Christian Highway,North Sheilaport,TX,73879,12.32,1043.42
7,411,2025-05-22,pending,4562 Crystal Ridges,Lake Gregory,NM,25465,16.41,3207.38
8,200,2025-04-20,shipped,93972 Andersen Stream Apt. 056,Robertmouth,RI,94449,16.06,2089.58
9,76,2024-12-17,delivered,1279 Lara Squares Apt. 130,Tiffanymouth,DC,42598,15.09,1588.25
10,783,2025-09-01,cancelled,249 Shaffer Mount,North Randy,NE,72340,10.59,174.4
11,639,2025-05-18,cancelled,92022 Roberts Grove Apt. 261,Shieldshaven,TN,34013,7.38,2260.86
12,999,2025-03-10,pending,56225 Holmes Road,South Alexandermouth,MP,85027,12.88,4086.1
13,814,2025-08-13,shipped,781 Mccullough Camp,Elizabethchester,ME,80792,16.16,3318.66
14,375,2025-08-23,processing,2912 Elliott Court,Madisonbury,KY,47600,8.98,977.03
15,522,2025-02-03,delivered,09269 Wagner Run Apt. 310,Port Sherri,NY,45176,15.0,1103.25
16,47,2025-07-22,pending,564 Mendez Branch,West Jonathan,MA,70901,7.74,1620.89
17,342,2025-09-04,delivered,9519 Burgess Square Apt. 950,Vanessaport,WV,93263,15.39,150.69
18,153,2025-11-12,cancelled,920 Ramirez Lakes Suite 912,North Mary,AS,59840,22.86,290.78
19,144,2025-10-04,shipped,442 Mary Freeway Apt. 995,Fritzport,FL,57950,23.63,2569.29
20,327,2025-10-26,processing,304 Colon Junctions Apt. 947,Mckinneyland,FM,57421,12.86,3033.54
21,632,2025-01-24,shipped,105 Michael Expressway,North Monicahaven,OR,95900,16.87,4334.04
22,520,2025-09-29,cancelled,31166 Poole Villages Suite 636,North Brandon,TX,39220,15.65,720.17
23,726,2025-09-09,cancelled,59015 Short Bridge,Estradastad,MP,99690,11.0,4256.0
24,836,2025-03-13,pending,414 Daugherty Mills Apt. 592,Lake Erin,RI,50714,12.37,976.15
25,690,2025-09-06,pending,7416 Lindsay Manors Suite 665,Moralestown,MO,28370,24.6,5512.93
26,598,2025-02-10,shipped,8617 Christopher Manors Suite 796,New Nicole,HI,37292,20.94,2810.05
27,743,2025-10-05,pending,34436 Wesley Island Apt. 562,South Carmen,LA,58694,16.94,1652.34
28,272,2025-04-25,cancelled,73336 Darrell Mountains Suite 760,Jasonmouth,AZ,27358,16.55,513.93
29,739,2025-03-13,pending,5498 Courtney Lock,New Meghanfurt,ME,73144,16.67,3684.12
30,175,2025-08-28,cancelled,0857 Torres Union Apt. 363,West David,WI,56998,17.58,1259.76
31,635,2025-04-10,delivered,1921 Walker Loaf,Tinachester,NH,30865,7.96,3281.62
32,698,2025-11-13,processing,0727 Todd Turnpike,South Nathaniel,NV,54520,5.63,896.99
33,971,2024-12-10,pending,6657 Robert Burgs Apt. 261,Port James,VI,76802,8.82,2348.04
34,452,2025-07-29,shipped,724 Wheeler Corners Suite 648,South Cole,AS,69354,13.38,7554.08
35,423,2025-07-03,processing,957 Tamara Gardens,New Dana,AK,64871,13.21,1407.74
36,794,2025-11-12,cancelled,315 Duran Orchard,West Jamesbury,SD,88253,23.41,3681.67
37,894,2024-11-27,pending,98386 Ray Lodge Apt. 498,Robertshire,CO,08826,19.12,2334.62
38,532,2024-11-28,processing,89758 Lewis Square,West Brianport,WI,35619,16.22,2335.38
39,679,2024-12-18,delivered,66130 Harris Haven Suite 396,Lake Lisatown,LA,67994,15.51,1181.33
40,322,2025-08-27,processing,7498 Ward Station,Kimberlyton,GA,39836,14.19,1764.43
